Name Wetland,ID,Area (km2),Type of wetland,Species richness,Species normalized,lat,lon,,,,,
Maos/Ano Mera dam lake,GR422MYK003,0.1364,Inland,4,29.3255132,37.47543,25.41042,,,,,
Airport ponds,GR422MYK006,0.0031,Inland,5,1612.903226,37.43287,25.34746,,,,,
Faneromeni dam lake,GR422NAX009,0.1264,Inland,12,94.93670886,37.13936,25.47032,,,,,
Vaketa dam lake,GR422TIN010,0.0301,Inland,6,199.3355482,37.54919,25.1728,,,,,
Omalos Vianou temporary pond,GR431KRI086,0.4518,Inland,2,4.426737494,35.07181,25.45425,,,,,
Karavados reservoir,GR431KRI096,0.0279,Inland,4,143.3691756,35.07777,25.33902,,,,,
Skinias reservoir,GR431KRI097,0.0627,Inland,16,255.1834131,35.06521,25.30685,,,,,
Livada Thrapsanou artificial pond,GR431KRI101,0.0254,Inland,15,590.5511811,35.19714,25.28639,,,,,
Agios Syllas artificial pond,GR431KRI112,0.0076,Inland,5,657.8947368,35.24683,25.12777,,,,,
Partira dam lake,GR431KRI120,0.0777,Inland,13,167.3101673,35.12833,25.21573,,,,,
Amourgeles dam lake,GR431KRI121,0.1598,Inland,4,25.03128911,35.12242,25.18849,,,,,
Vromolimni of Gergeri,GR431KRI129,0.0052,Inland,3,576.9230769,35.13734,24.96554,,,,,
Gergeri reservoir,GR431KRI130,0.0429,Inland,5,116.5501166,35.13581,24.9647,,,,,
Limni Votomos,GR431KRI131,0.0086,Inland,7,813.9534884,35.14003,24.91088,,,,,
Faneromeni dam lake,GR431KRI132,0.8935,Inland,12,13.43033016,35.09614,24.85359,,,,,
Pompia wastewater treatment swamp,GR431KRI133,0.0085,Inland,5,588.2352941,35.01588,24.86622,,,,,
Thrapsanos dam,GR431KRI233,0.0129,Inland,3,232.5581395,35.18146,25.28392,,,,,
Kiperas pond,GR431KRI234,0.0041,Inland,6,1463.414634,35.17555,25.30452,,,,,
Agia Semni reservoir 1,GR431KRI235,0.0018,Inland,3,1666.666667,35.13129,25.24404,,,,,
Ligaras reservoir,GR431KRI237,0.0048,Inland,4,833.3333333,35.25708,25.4404,,,,,
