Name Wetland,State,ID,Area (km2),Species richness,Species normalized,lat,lon,Groundwater recharge,Groundwater depth,Evaporation,Discharge,Salinity,BOD,bod,TP,ec,NOXN,SatAreaFrac,SatAreaFrac_20,SatAreaFrac_40,SatAreaFrac_60
Riverland Wetland,SA,24,0.3064,740,2415.144,-34.0333,140.8333,2.22e-06,6.93317,0.549412,729.656,1e+31,1e+31,1.288657,0.22818,630.2686,0.475939,0.42965078353881836,0.3918952345848083,0.4101207852363586,0.4329656958580017
Spectacle Lakes,SA,25,4.27,100,23.4192,-34.3667,140.4333,2.22e-07,17.2504,0.577885,726.022,673.997,0.070503,1e+31,1e+31,1e+31,1e+31,0.07536472380161285,0.0047364141792058,0.0328577533364295,0.083447977900505
Swan Reach Wetland,SA,26,2.5,69,27.6,-34.5333,139.6,9.62e-07,27.5672,0.528087,721.999,171.766,0.020437,2.070308,0.204437,564.0636,0.715914,0.3700476288795471,0.3279507160186767,0.3479239642620086,0.37442347407341
Butchers & Salt Lakes,SA,27,0.4,15,37.5,-36.8833,139.8,1e+31,1.10033,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,,,,
Deadmans Swamp,SA,28,5.45,316,57.98165,-37.1667,140.85,8.28e-06,15.5323,0.638725,0.052214,1e+31,1e+31,1.317075,0.161036,378.4123,0.604341,0.11987067759037018,0.0043257512152194,0.0249893590807914,0.1135549545288086
Ewens Ponds,SA,29,0.005,31,6200.0,-38.0167,140.8167,8.13e-08,4.65202,0.725093,1.32e-05,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.1126314252614975,0.0041547361761331,0.0291186645627021,0.1140885427594184
Honans Scrub,SA,30,8.42,401,47.6247,-37.7333,140.6333,0.000448,21.7893,0.594377,0.356524,1e+31,1e+31,1.166387,0.111807,224.4524,0.595752,0.2731432616710663,0.1714296787977218,0.2062878906726837,0.2852216064929962
Lake Frome & Mullins Swamp,SA,31,32.16,106,3.29602,-37.5667,140.1833,0.000156,7.47815,0.667806,0.118709,1e+31,1e+31,1.406494,0.156392,442.8401,0.506113,0.2077718824148178,0.0725341886281967,0.1313805282115936,0.2303513139486313
Marshes Swamp,SA,32,6.65,372,55.93985,-37.6,140.5333,0.001068,34.3925,0.3635,0.850794,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.5461215972900391,0.4740851819515228,0.5273350477218628,0.5756427645683289
Naen Naen Swamp & Gum Lagoon,SA,33,3.35,26,7.761194,-36.2667,140.0333,8.43e-05,11.3356,0.454056,0.055262,1e+31,1e+31,1.693074,0.16373,447.2331,0.557516,0.3014542758464813,0.2452199310064315,0.2643212676048279,0.3019503057003021
Piccaninnie Ponds,SA,34,3.0,261,87.0,-38.05,140.95,0.000726,7.05699,0.443558,0.630166,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.38380375504493713,0.3013864755630493,0.3446047306060791,0.4042470753192901
Poocher & Mundulla Swamps,SA,35,3.0,65,21.66667,-36.35,140.6833,8.25e-06,7.37581,0.456173,0.00331,1e+31,1e+31,1.588155,0.149461,359.529,0.517003,0.13497745990753174,0.0049879443831741,0.0422597900032997,0.1446167677640915
South East Coastal Salt Lakes,SA,36,1374.44,268,0.194989,-37.3333,139.9167,0.000837,10.9962,0.614235,4.06862,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.10095944255590439,0.003370403079316,0.0304740611463785,0.1083522215485572
"The Coorong, Lake Alexandrina & Lake Albert",SA,37,1405.0,1115,0.793594,-35.6667,139.0833,1e+31,0.0,1e+31,1e+31,1e+31,1e+31,1.540756,0.108009,269.7533,0.517053,,,,
Watervalley Wetlands,SA,38,56.6,174,3.074205,-36.4667,140.1833,0.000282,11.4042,0.36612,0.248582,1e+31,1e+31,1.272201,0.1478,433.9321,0.49633,0.5648704767227173,0.5018476843833923,0.5338050723075867,0.5836067199707031
