Name Wetland,ID,Area (km2),Type of wetland,Species richness,Species normalized,lat,lon,SatAreaFrac,SatAreaFrac_20,SatAreaFrac_40,SatAreaFrac_60
KELLIA RIVER RECHARGE BARRIER,CY000LAR059,0.012054,Inland,3,248.8800398,34.99385,33.63417,0.4413229525089264,0.3464607298374176,0.4127300977706909,0.4651897549629211
OROKLINI ABANDONED QUARRY LAKE,CY000LAR060,0.033583,Inland,2,59.55394098,34.99372,33.64167,0.4413229525089264,0.3464607298374176,0.4127300977706909,0.4651897549629211
ORMIDEIA RECHARGE WIER,CY000LAR061,0.0241254,Inland,1,41.45008995,35.00245,33.76923,0.5303529500961304,0.4709251523017883,0.4972624778747558,0.5367447137832642
MARONI DIVERSION DAM,CY000LAR070,0.0184832,Inland,5,270.515928,34.81587,33.31835,0.08184609562158585,0.0032745292410254,0.0078601399436593,0.0380923487246036
PANO PLATRES RESERVOIR,CY000LIM001,0.0342373,Inland,6,175.247464,34.91573,32.90391,0.3877747356891632,0.2441178113222122,0.271924078464508,0.4084096848964691
ASBESTOS ABANDONED MINE LAKE,CY000LIM002,0.034585,Inland,7,202.3998843,34.92228,32.91669,0.1873483955860138,0.0048521249555051,0.0249331146478652,0.1830699890851974
KYPEROUNTA IRRIGATION TANK No.1,CY000LIM003,0.0342677,Inland,4,116.7279975,34.94195,32.9547,0.1873483955860138,0.0048521249555051,0.0249331146478652,0.1830699890851974
CHANDRIA IRRIGATION TANK (STAVROS TOU KAMPOU),CY000LIM004,0.0155137,Inland,5,322.2957773,34.94247,32.98713,0.1873483955860138,0.0048521249555051,0.0249331146478652,0.1830699890851974
KYPEROUNTA IRRIGATION TANK No2,CY000LIM005,0.0124226,Inland,4,321.9937855,34.94044,32.98339,0.1873483955860138,0.0048521249555051,0.0249331146478652,0.1830699890851974
"RECYCLED WATER TANKS, KYPEROUNTA WASTEWATER TREATMENT PLANT",CY000LIM006,0.0109376,Inland,2,182.855471,34.9338,32.98107,0.1873483955860138,0.0048521249555051,0.0249331146478652,0.1830699890851974
AGRIDIA RESERVOIR,CY000LIM007,0.0099262,Inland,5,503.7174347,34.93022,33.00071,0.12156443297863007,0.0033163970801979,0.0066316188313066,0.0831963643431663
KATO MYLOS IRRIGATION TANK,CY000LIM008,0.0194547,Inland,2,102.8029217,34.90074,33.00751,0.14352206885814667,0.0039881807751953,0.0157275795936584,0.1165994480252265
AKAPNOU IRRIGATION TANK,CY000LIM010,0.0232311,Inland,2,86.09148943,34.84756,33.17621,0.11036113649606705,0.003121274523437,0.0062256315723061,0.0697109624743461
EPTAGONEIA IRRIGATION TANK No.2,CY000LIM011,0.0179044,Inland,1,55.85219276,34.8488,33.16565,0.10770769417285919,0.0030810930766165,0.0061476482078433,0.0633367747068405
EPTAGONEIA IRRIGATION TANK No.1,CY000LIM012,0.0257291,Inland,4,155.4659899,34.84894,33.15321,0.10770769417285919,0.0030810930766165,0.0061476482078433,0.0633367747068405
ARAKAPAS IRRIGATION TANK No.3,CY000LIM013,0.0253508,Inland,1,39.4464869,34.84096,33.13003,0.10770769417285919,0.0030810930766165,0.0061476482078433,0.0633367747068405
ARAKAPAS IRRIGATION TANK No.2,CY000LIM014,0.0284822,Inland,3,105.3289423,34.83947,33.12128,0.10770769417285919,0.0030810930766165,0.0061476482078433,0.0633367747068405
ARAKAPAS RESERVOIR,CY000LIM015,0.016967,Inland,10,589.3793835,34.84279,33.08892,0.10770769417285919,0.0030810930766165,0.0061476482078433,0.0633367747068405
ARAKAPAS IRRIGATION TANK No.1,CY000LIM016,0.028172,Inland,5,177.481187,34.84708,33.08027,0.14352206885814667,0.0039881807751953,0.0157275795936584,0.1165994480252265
KYTHREOTIS QUARRY LAKE,CY000LIM017,0.0063965,Inland,4,625.3419839,34.78858,33.15184,0.5392485857009888,0.4610082507133484,0.491612821817398,0.5467726588249207
SKYRA VASAS QUARRY LAKE,CY000LIM018,0.0076751,Inland,1,130.291462,34.77842,33.21542,0.08394115418195724,0.0030499105341732,0.0060920165851712,0.0389153771102428
ABANDONED QUARRY LAKE- VASILIKO CEMENT WORKS,CY000LIM022,0.0155993,Inland,10,641.0544063,34.71165,33.20263,0.11937326192855835,0.0048034866340458,0.0331907570362091,0.1083066835999488
GERMASOGEIA RESERVOIR,CY000LIM025,1.0425171,Inland,16,15.34747008,34.75324,33.09014,0.5392485857009888,0.4610082507133484,0.491612821817398,0.5467726588249207
TRIMIKLINI RESERVOIR,CY000LIM026,0.0288019,Inland,7,243.0395217,34.86415,32.91449,0.3877747356891632,0.2441178113222122,0.271924078464508,0.4084096848964691
SEWAGE LAGOON AT  LIMASSOL A' INDUSTRIAL AREA,CY000LIM028,0.0060911,Inland,5,820.8697936,34.66534,32.9902,0.6166195273399353,0.5545334815979004,0.5827214121818542,0.6355719566345215
POLEMIDIA RESERVOIR,CY000LIM032,0.285336,Inland,5,17.52320072,34.72187,32.98441,0.6002913117408752,0.5166609883308411,0.5549644231796265,0.6159103512763977
MARSH DOWNSTREAM OF KOURIS RESERVOIR,CY000LIM033,0.0741979,Inland,26,350.4142301,34.72329,32.9186,0.6002913117408752,0.5166609883308411,0.5549644231796265,0.6159103512763977
KOURIS RESERVOIR,CY000LIM034,3.3061306,Inland,31,9.376520093,34.74903,32.9231,0.6002913117408752,0.5166609883308411,0.5549644231796265,0.6159103512763977
KANTOU IRRIGATION TANK,CY000LIM035,0.0023963,Inland,3,1251.930059,34.71138,32.91151,0.599321722984314,0.5130490064620972,0.5516650676727295,0.615351140499115
KANTOU RESERVOIR,CY000LIM037,0.0105792,Inland,11,1039.776165,34.69862,32.89779,0.599321722984314,0.5130490064620972,0.5516650676727295,0.615351140499115
EPISKOPI RESERVOIR- KLIOUSIA,CY000LIM040,0.114001,Inland,4,35.08741151,34.69624,32.8454,0.599321722984314,0.5130490064620972,0.5516650676727295,0.615351140499115
EPTAGONEIA IRRIGATION TANK No.3,CY000LIM051,0.0101356,Inland,1,98.66214136,34.8383,33.15239,0.10770769417285919,0.0030810930766165,0.0061476482078433,0.0633367747068405
MAGKALENI MINE LAKE- SANTA MARINA RETREAT,CY000LIM066,0.0016722,Inland,3,1794.043775,34.75665,33.13635,0.5392485857009888,0.4610082507133484,0.491612821817398,0.5467726588249207
SKYRAMONT QUARRY LAKE PAREKLISSIA,CY000LIM067,0.0084852,Inland,6,707.1135624,34.78416,33.15593,0.5392485857009888,0.4610082507133484,0.491612821817398,0.5467726588249207
PERA-PEDI RESERVOIR,CY000LIM070,0.0072856,Inland,13,1784.341715,34.87193,32.86553,0.3877747356891632,0.2441178113222122,0.271924078464508,0.4084096848964691
ALMIROLIVADO,CY000LIM071,0.0191652,Inland,24,1252.269739,34.92881,32.89898,0.3190322816371918,0.1408885717391967,0.1866606622934341,0.3391215801239013
LIVADI TOU PASIA,CY000LIM072,0.0193487,Inland,20,1033.661176,34.93475,32.8977,0.3190322816371918,0.1408885717391967,0.1866606622934341,0.3391215801239013
LAND OF DREAMS FISHING POND,CY000LIM076,0.0021372,Inland,2,935.8038555,34.83817,32.90591,0.3877747356891632,0.2441178113222122,0.271924078464508,0.4084096848964691
AGROS RESERVOIR,CY000LIM077,0.0135589,Inland,5,368.7614777,34.92414,33.0143,0.12156443297863007,0.0033163970801979,0.0066316188313066,0.0831963643431663
UNTREATED SEWAGE DISPOSAL PONDS- VATI ,CY000LIM079,0.0330121,Inland,2,60.58384653,34.74682,32.95331,0.6002913117408752,0.5166609883308411,0.5549644231796265,0.6159103512763977
AKROUNTA RECHARGE WEIR (AKROUNTA RESERVOIR),CY000LIM081,0.001399,Inland,8,5718.370264,34.7709,33.0753,0.09789303690195084,0.0030717488843947,0.0061053060926496,0.0510714724659919
KYTHREA RESERVOIR (LAKKOVOUNARA),CY000NIC001,0.0588712,Inland,9,152.8761092,35.2496,33.45737,0.09058040380477905,0.003911648876965,0.0156652070581913,0.0547367706894874
MIA MILIA ABANDONED QUARRY LAKE,CY000NIC002,0.0045003,Inland,3,666.6222252,35.23858,33.42978,0.09058040380477905,0.003911648876965,0.0156652070581913,0.0547367706894874
MIA MILIA RIVER WIER AND QUARRY LAKE,CY000NIC003,0.018382,Inland,6,326.406267,35.23784,33.43374,0.09058040380477905,0.003911648876965,0.0156652070581913,0.0547367706894874
MIA MILIA RESERVOIR,CY000NIC004,0.042453,Inland,3,70.666384,35.23414,33.41382,0.44326698780059814,0.3630990386009216,0.3985092639923095,0.4443767666816711
MIA MILIA RECHARGE WIER,CY000NIC005,0.010359,Inland,3,289.6032436,35.2294,33.41095,0.44326698780059814,0.3630990386009216,0.3985092639923095,0.4443767666816711
MIA MILIA IRRIGATION TANK,CY000NIC006,0.0013945,Inland,4,2868.411617,35.227,33.42072,0.09058040380477905,0.003911648876965,0.0156652070581913,0.0547367706894874
NEO CHORIO KYTHREAS RECHARGE WIER,CY000NIC007,0.0033469,Inland,5,1493.919747,35.21588,33.4634,0.09058040380477905,0.003911648876965,0.0156652070581913,0.0547367706894874
"RECYCLED WATER TANKS, MIA MILIA WASTEWATER TREATMENT PLANT",CY000NIC008,0.7918671,Inland,10,12.62838171,35.18994,33.43388,0.09058040380477905,0.003911648876965,0.0156652070581913,0.0547367706894874
XYLIATOS RESERVOIR,CY000NIC009,0.0963904,Inland,8,82.99581701,35.00695,33.03706,0.10962419211864471,0.0035447461996227,0.0141478907316923,0.0864031910896301
KALOPANAGIOTIS RESERVOIR,CY000NIC010,0.0382359,Inland,11,287.6877489,35.00441,32.82588,0.4426850378513336,0.3480077981948852,0.3763232231140136,0.4489161670207977
ESSO GALATA IRRIGATION TANK,CY000NIC012,0.07083,Inland,7,98.82818015,34.9875,32.88007,0.3190322816371918,0.1408885717391967,0.1866606622934341,0.3391215801239013
KALO HORIO RESERVOIR,CY000NIC013,0.0145657,Inland,10,686.544416,34.98091,33.15423,0.1155472993850708,0.0032014369498938,0.0063562863506376,0.0763052105903625
LAZANIAS ABANDONED QUARRY LAKE,CY000NIC014,0.0059798,Inland,5,836.1483662,34.96685,33.20488,0.1156177818775177,0.003192477626726,0.006384955253452,0.0754867792129516
KOTSIATIS RESERVOIR,CY000NIC017,0.0156615,Inland,8,510.8067554,34.99394,33.33458,0.10811959207057953,0.0045170695520937,0.02209416590631,0.0722852423787117
MATHIATIS ABANDONED MINE LAKE,CY000NIC018,0.030315,Inland,2,65.97394029,34.97655,33.34687,0.10811959207057953,0.0045170695520937,0.02209416590631,0.0722852423787117
VRETSIA ABANDONED MINE LAKE,CY000NIC019,0.0049582,Inland,2,403.3721915,34.91856,32.67599,0.17061153054237366,0.0041499179787933,0.0136440079659223,0.1519446372985839
FARMAKAS QUARRY LAKE,CY000NIC020,0.0125453,Inland,2,159.4222538,34.94066,33.14091,0.1155472993850708,0.0032014369498938,0.0063562863506376,0.0763052105903625
"PALAICHORI, KAMPI (APLIKI) RESERVOIR",CY000NIC021,0.0571805,Inland,7,122.4193562,34.9282,33.1289,0.1155472993850708,0.0032014369498938,0.0063562863506376,0.0763052105903625
FARMAKAS IRRIGATION TANK No.1,CY000NIC022,0.0115843,Inland,5,431.6186563,34.92039,33.13483,0.1155472993850708,0.0032014369498938,0.0063562863506376,0.0763052105903625
FARMAKAS IRRIGATION TANK No.2,CY000NIC023,0.0048703,Inland,7,1437.283124,34.91893,33.13614,0.1155472993850708,0.0032014369498938,0.0063562863506376,0.0763052105903625
LYTHRODONTAS RIVER RECHARGE BARRIER PANO DIMMA,CY000NIC024,0.0006874,Inland,13,18911.84172,34.94336,33.27441,0.4868095815181732,0.4025957286357879,0.4284332990646362,0.4883513152599334
LYTHRODONTAS RIVER RECHARGE BARRIER KATO DIMMA,CY000NIC025,0.0013889,Inland,12,8639.930881,34.94948,33.28859,0.4868095815181732,0.4025957286357879,0.4284332990646362,0.4883513152599334
ELEUTHERIOS PANAGI AND SON LTD QUARRY LAKE,CY000NIC026,0.0317463,Inland,4,125.9989353,34.94316,33.37973,0.10811959207057953,0.0045170695520937,0.02209416590631,0.0722852423787117
SIA ABANDONED MINE LAKE,CY000NIC027,0.0078047,Inland,2,256.2558458,34.95056,33.37361,0.10811959207057953,0.0045170695520937,0.02209416590631,0.0722852423787117
AGIOS SOZOMENOS QUARRY LAKE,CY000NIC030,0.038728,Inland,2,51.64222268,35.077,33.43878,0.5114191770553589,0.4233412444591522,0.4560540020465851,0.5263169407844543
ELMENI QUARRY LAKE,CY000NIC031,0.0027371,Inland,4,1461.400753,35.07331,33.43943,0.5114191770553589,0.4233412444591522,0.4560540020465851,0.5263169407844543
ATHALASSA RESERVOIR- ATHALASSA NATIONAL FOREST PARK,CY000NIC032,0.1223366,Inland,68,555.8434679,35.12783,33.38766,0.22578929364681244,0.1513185203075409,0.1661006659269333,0.1944788545370102
UNIVERSITY OF CYPRUS POND,CY000NIC033,0.0042936,Inland,7,1630.33352,35.14167,33.40844,0.22578929364681244,0.1513185203075409,0.1661006659269333,0.1944788545370102
AGIOS GEORGIOS LAKE- ATHALASSA NATIONAL FOREST PARK,CY000NIC034,0.0136103,Inland,16,1175.580259,35.14278,33.40177,0.22578929364681244,0.1513185203075409,0.1661006659269333,0.1944788545370102
TAMASOS RESERVOIR,CY000NIC038,0.3024133,Inland,21,69.44139031,35.01149,33.24776,0.09436305612325668,0.0035438919439911,0.0120835257694125,0.0636169165372848
KLIROU-MALOUNTA-AKAKI RESERVOIR,CY000NIC039,0.1987676,Inland,20,100.6200206,35.02924,33.16907,0.09436305612325668,0.0035438919439911,0.0120835257694125,0.0636169165372848
"RECYCLED WATER TANKS, ANTHOUPOLI WASTEWATER TREATMENT PLANT",CY000NIC043,0.024959,Inland,2,80.13141552,35.10577,33.27153,0.10356874018907547,0.0043369177728891,0.0229801870882511,0.0777354910969734
LOUTZENA LAKES- STRAKKA,CY000NIC044,0.0151416,Inland,4,264.1728747,35.09622,33.28975,0.10356874018907547,0.0043369177728891,0.0229801870882511,0.0777354910969734
MANGLI LAKE,CY000NIC045,0.0432095,Inland,9,208.2875294,35.12706,33.30844,0.10356874018907547,0.0043369177728891,0.0229801870882511,0.0777354910969734
MENIKO RECHARGE WIER No.1,CY000NIC047,0.0167592,Inland,12,716.0246312,35.09455,33.16712,0.5918368101119995,0.5121016502380371,0.5430411100387573,0.6004216074943542
AKAKI RECHARGE WIER No.1,CY000NIC048,0.0183691,Inland,2,108.878497,35.11625,33.13426,0.5754192471504211,0.4955693781375885,0.5260661840438843,0.5788318514823914
PERISTERONA RECHARGE WIER No.1,CY000NIC049,0.6771667,Inland,2,2.953482503,35.11748,33.08772,0.5754192471504211,0.4955693781375885,0.5260661840438843,0.5788318514823914
TAILING POND ABANDONED MINERAL ENRICHMENT PLANT HCM MITSERO No.1,CY000NIC052,0.0628097,Inland,3,47.76332318,35.06771,33.12922,0.09700053185224533,0.0033241878263652,0.0101105589419603,0.0692475885152816
ACHERA RESERVOIR (AGROKIPIA),CY000NIC053,0.0577467,Inland,4,69.26802744,35.06654,33.14268,0.09700053185224533,0.0033241878263652,0.0101105589419603,0.0692475885152816
HADJIKYRIAKOU PIG FARM LAKE- KATO MONI,CY000NIC056,0.0221641,Inland,1,45.11800615,35.05272,33.09089,0.09700053185224533,0.0033241878263652,0.0101105589419603,0.0692475885152816
MEMI ABANDONED MINE LAKE,CY000NIC058,0.0540432,Inland,3,55.51114664,35.03763,33.03824,0.10962419211864471,0.0035447461996227,0.0141478907316923,0.0864031910896301
VYZAKIA RESERVOIR,CY000NIC059,0.1603822,Inland,6,37.41063534,35.06145,33.02988,0.10962419211864471,0.0035447461996227,0.0141478907316923,0.0864031910896301
