Name Wetland,ID,Area (km2),Type of wetland,Species richness,Species normalized,lat,lon,SatAreaFrac,SatAreaFrac_20,SatAreaFrac_40,SatAreaFrac_60
Larko mining pool 6,GR242EUB087,0.0192,Inland,3.0,156.25,38.67296,23.70132,0.613017201423645,0.5213950276374817,0.5837333798408508,0.6450616121292114
Larko mining pool 5,GR242EUB090,0.0104,Inland,1.0,96.15384615,38.59825,23.72537,0.1788778305053711,0.006693385541439,0.0628620460629463,0.188960313796997
Agdines pond 2,GR242EUB094,0.0013,Inland,3.0,2307.692308,38.95297,23.28743,0.3569941520690918,0.2019769996404647,0.264575332403183,0.386667937040329
Aris plateau artificial pond,GR242SKR010,0.0031,Inland,1.0,322.5806452,38.80091,24.64334,0.13061629235744476,0.0191526655107736,0.0967956930398941,0.1857807785272598
Trizonia marsh,GR245TRI001,0.0122,Inland,1.0,81.96721311,38.36455,22.07074,,,,
Kontias dam lake,GR411LEM003,0.3331,Inland,8.0,24.01681177,39.88923,25.14953,0.12598980963230133,0.0046352762728929,0.0196380224078893,0.103254459798336
Agkaryones artificial pond,GR411LEM015,0.003,Inland,5.0,1666.666667,39.89953,25.17299,0.17372164130210876,0.0068919956684112,0.0708343982696533,0.1759054362773895
Moudros artificial pond,GR411LEM025,0.0038,Inland,2.0,526.3157895,39.87481,25.29155,0.12008076161146164,0.0047507053241133,0.0430136770009994,0.1136540248990058
Agios Dimitrios artificial pond,GR411LEM038,0.003,Inland,3.0,1000.0,39.90917,25.15577,0.12598980963230133,0.0046352762728929,0.0196380224078893,0.103254459798336
Airport artificial pond,GR411LEM042,0.0055,Inland,3.0,545.4545455,39.91701,25.22802,0.1259828358888626,0.004322750493884,0.020546406507492,0.103685975074768
Kastro artificial pool 1,GR411LEM044,0.0047,Inland,7.0,1489.361702,39.86239,25.16464,0.12598980963230133,0.0046352762728929,0.0196380224078893,0.103254459798336
Kastro artificial pool 2,GR411LEM045,0.0035,Inland,4.0,1142.857143,39.86075,25.16556,0.12598980963230133,0.0046352762728929,0.0196380224078893,0.103254459798336
Livadi Marmaro 2,GR411LEM047,0.0158,Inland,5.0,316.4556962,39.96052,25.40325,0.25522223114967346,0.012793431058526,0.1370724737644195,0.3036307692527771
Livadi Marmaro 1,GR411LEM049,0.0249,Inland,3.0,120.4819277,39.96411,25.40174,0.25522223114967346,0.012793431058526,0.1370724737644195,0.3036307692527771
Metochi Leimonos,GR411LES018,0.0197,Inland,9.0,456.8527919,39.22516,26.19004,0.6708699464797974,0.5744194984436035,0.6285510659217834,0.7047759294509888
Mikri Limni,GR411LES040,0.0512,Inland,16.0,312.5,39.10895,26.26569,0.3307027518749237,0.0812850221991539,0.2242651283740997,0.4056662023067474
Megali Limni,GR411LES042,1.1102,Inland,3.0,2.702215817,39.10888,26.32963,0.3307027518749237,0.0812850221991539,0.2242651283740997,0.4056662023067474
Agiasmoudia,GR411LES044,0.0192,Inland,2.0,104.1666667,39.12448,26.29345,0.3307027518749237,0.0812850221991539,0.2242651283740997,0.4056662023067474
Skalochori gkioli,GR411LES060,0.0016,Inland,2.0,1250.0,39.26693,26.08489,0.5059672594070435,0.3531157076358795,0.4112561047077179,0.5430881977081299
Kleious artificial pond,GR411LES072,0.0052,Inland,5.0,961.5384615,39.34056,26.31929,0.5685520768165588,0.4250823557376861,0.5044243931770325,0.6188361644744873
Agia Sotira,GR411LES073,0.0137,Inland,7.0,510.9489051,39.09207,26.31592,0.3307027518749237,0.0812850221991539,0.2242651283740997,0.4056662023067474
Xirokampos artificial pond,GR411LES076,0.004,Inland,4.0,1000.0,39.08597,26.2,0.31030893325805664,0.1388604342937469,0.1846807450056076,0.3200918734073639
