Name Wetland,ID,Area (km2),Type of wetland,Species richness,Species normalized,lat,lon
KYPEROUNTA IRRIGATION TANK No2,CY000LIM005,0.0124226,Inland,4,321.9937855,34.94044,32.98339
"RECYCLED WATER TANKS, KYPEROUNTA WASTEWATER TREATMENT PLANT",CY000LIM006,0.0109376,Inland,2,182.855471,34.9338,32.98107
AGRIDIA RESERVOIR,CY000LIM007,0.0099262,Inland,5,503.7174347,34.93022,33.00071
KATO MYLOS IRRIGATION TANK,CY000LIM008,0.0194547,Inland,2,102.8029217,34.90074,33.00751
AKAPNOU IRRIGATION TANK,CY000LIM010,0.0232311,Inland,2,86.09148943,34.84756,33.17621
EPTAGONEIA IRRIGATION TANK No.2,CY000LIM011,0.0179044,Inland,1,55.85219276,34.8488,33.16565
EPTAGONEIA IRRIGATION TANK No.1,CY000LIM012,0.0257291,Inland,4,155.4659899,34.84894,33.15321
ARAKAPAS IRRIGATION TANK No.3,CY000LIM013,0.0253508,Inland,1,39.4464869,34.84096,33.13003
ARAKAPAS IRRIGATION TANK No.2,CY000LIM014,0.0284822,Inland,3,105.3289423,34.83947,33.12128
ARAKAPAS RESERVOIR,CY000LIM015,0.016967,Inland,10,589.3793835,34.84279,33.08892
ARAKAPAS IRRIGATION TANK No.1,CY000LIM016,0.028172,Inland,5,177.481187,34.84708,33.08027
KYTHREOTIS QUARRY LAKE,CY000LIM017,0.0063965,Inland,4,625.3419839,34.78858,33.15184
SKYRA VASAS QUARRY LAKE,CY000LIM018,0.0076751,Inland,1,130.291462,34.77842,33.21542
ABANDONED QUARRY LAKE- VASILIKO CEMENT WORKS,CY000LIM022,0.0155993,Inland,10,641.0544063,34.71165,33.20263
GERMASOGEIA RESERVOIR,CY000LIM025,1.0425171,Inland,16,15.34747008,34.75324,33.09014
TRIMIKLINI RESERVOIR,CY000LIM026,0.0288019,Inland,7,243.0395217,34.86415,32.91449
SEWAGE LAGOON AT  LIMASSOL A' INDUSTRIAL AREA,CY000LIM028,0.0060911,Inland,5,820.8697936,34.66534,32.9902
POLEMIDIA RESERVOIR,CY000LIM032,0.285336,Inland,5,17.52320072,34.72187,32.98441
MARSH DOWNSTREAM OF KOURIS RESERVOIR,CY000LIM033,0.0741979,Inland,26,350.4142301,34.72329,32.9186
KOURIS RESERVOIR,CY000LIM034,3.3061306,Inland,31,9.376520093,34.74903,32.9231
KANTOU IRRIGATION TANK,CY000LIM035,0.0023963,Inland,3,1251.930059,34.71138,32.91151
KANTOU RESERVOIR,CY000LIM037,0.0105792,Inland,11,1039.776165,34.69862,32.89779
EPISKOPI RESERVOIR- KLIOUSIA,CY000LIM040,0.114001,Inland,4,35.08741151,34.69624,32.8454
EPTAGONEIA IRRIGATION TANK No.3,CY000LIM051,0.0101356,Inland,1,98.66214136,34.8383,33.15239
MAGKALENI MINE LAKE- SANTA MARINA RETREAT,CY000LIM066,0.0016722,Inland,3,1794.043775,34.75665,33.13635
SKYRAMONT QUARRY LAKE PAREKLISSIA,CY000LIM067,0.0084852,Inland,6,707.1135624,34.78416,33.15593
PERA-PEDI RESERVOIR,CY000LIM070,0.0072856,Inland,13,1784.341715,34.87193,32.86553
ALMIROLIVADO,CY000LIM071,0.0191652,Inland,24,1252.269739,34.92881,32.89898
LIVADI TOU PASIA,CY000LIM072,0.0193487,Inland,20,1033.661176,34.93475,32.8977
LAND OF DREAMS FISHING POND,CY000LIM076,0.0021372,Inland,2,935.8038555,34.83817,32.90591
AGROS RESERVOIR,CY000LIM077,0.0135589,Inland,5,368.7614777,34.92414,33.0143
UNTREATED SEWAGE DISPOSAL PONDS- VATI ,CY000LIM079,0.0330121,Inland,2,60.58384653,34.74682,32.95331
AKROUNTA RECHARGE WEIR (AKROUNTA RESERVOIR),CY000LIM081,0.001399,Inland,8,5718.370264,34.7709,33.0753
KYTHREA RESERVOIR (LAKKOVOUNARA),CY000NIC001,0.0588712,Inland,9,152.8761092,35.2496,33.45737
MIA MILIA ABANDONED QUARRY LAKE,CY000NIC002,0.0045003,Inland,3,666.6222252,35.23858,33.42978
MIA MILIA RIVER WIER AND QUARRY LAKE,CY000NIC003,0.018382,Inland,6,326.406267,35.23784,33.43374
MIA MILIA RESERVOIR,CY000NIC004,0.042453,Inland,3,70.666384,35.23414,33.41382
MIA MILIA RECHARGE WIER,CY000NIC005,0.010359,Inland,3,289.6032436,35.2294,33.41095
MIA MILIA IRRIGATION TANK,CY000NIC006,0.0013945,Inland,4,2868.411617,35.227,33.42072
NEO CHORIO KYTHREAS RECHARGE WIER,CY000NIC007,0.0033469,Inland,5,1493.919747,35.21588,33.4634
"RECYCLED WATER TANKS, MIA MILIA WASTEWATER TREATMENT PLANT",CY000NIC008,0.7918671,Inland,10,12.62838171,35.18994,33.43388
XYLIATOS RESERVOIR,CY000NIC009,0.0963904,Inland,8,82.99581701,35.00695,33.03706
KALOPANAGIOTIS RESERVOIR,CY000NIC010,0.0382359,Inland,11,287.6877489,35.00441,32.82588
ESSO GALATA IRRIGATION TANK,CY000NIC012,0.07083,Inland,7,98.82818015,34.9875,32.88007
KALO HORIO RESERVOIR,CY000NIC013,0.0145657,Inland,10,686.544416,34.98091,33.15423
LAZANIAS ABANDONED QUARRY LAKE,CY000NIC014,0.0059798,Inland,5,836.1483662,34.96685,33.20488
KOTSIATIS RESERVOIR,CY000NIC017,0.0156615,Inland,8,510.8067554,34.99394,33.33458
MATHIATIS ABANDONED MINE LAKE,CY000NIC018,0.030315,Inland,2,65.97394029,34.97655,33.34687
VRETSIA ABANDONED MINE LAKE,CY000NIC019,0.0049582,Inland,2,403.3721915,34.91856,32.67599
FARMAKAS QUARRY LAKE,CY000NIC020,0.0125453,Inland,2,159.4222538,34.94066,33.14091
"PALAICHORI, KAMPI (APLIKI) RESERVOIR",CY000NIC021,0.0571805,Inland,7,122.4193562,34.9282,33.1289
FARMAKAS IRRIGATION TANK No.1,CY000NIC022,0.0115843,Inland,5,431.6186563,34.92039,33.13483
FARMAKAS IRRIGATION TANK No.2,CY000NIC023,0.0048703,Inland,7,1437.283124,34.91893,33.13614
LYTHRODONTAS RIVER RECHARGE BARRIER PANO DIMMA,CY000NIC024,0.0006874,Inland,13,18911.84172,34.94336,33.27441
LYTHRODONTAS RIVER RECHARGE BARRIER KATO DIMMA,CY000NIC025,0.0013889,Inland,12,8639.930881,34.94948,33.28859
ELEUTHERIOS PANAGI AND SON LTD QUARRY LAKE,CY000NIC026,0.0317463,Inland,4,125.9989353,34.94316,33.37973
SIA ABANDONED MINE LAKE,CY000NIC027,0.0078047,Inland,2,256.2558458,34.95056,33.37361
AGIOS SOZOMENOS QUARRY LAKE,CY000NIC030,0.038728,Inland,2,51.64222268,35.077,33.43878
ELMENI QUARRY LAKE,CY000NIC031,0.0027371,Inland,4,1461.400753,35.07331,33.43943
ATHALASSA RESERVOIR- ATHALASSA NATIONAL FOREST PARK,CY000NIC032,0.1223366,Inland,68,555.8434679,35.12783,33.38766
UNIVERSITY OF CYPRUS POND,CY000NIC033,0.0042936,Inland,7,1630.33352,35.14167,33.40844
AGIOS GEORGIOS LAKE- ATHALASSA NATIONAL FOREST PARK,CY000NIC034,0.0136103,Inland,16,1175.580259,35.14278,33.40177
TAMASOS RESERVOIR,CY000NIC038,0.3024133,Inland,21,69.44139031,35.01149,33.24776
KLIROU-MALOUNTA-AKAKI RESERVOIR,CY000NIC039,0.1987676,Inland,20,100.6200206,35.02924,33.16907
"RECYCLED WATER TANKS, ANTHOUPOLI WASTEWATER TREATMENT PLANT",CY000NIC043,0.024959,Inland,2,80.13141552,35.10577,33.27153
LOUTZENA LAKES- STRAKKA,CY000NIC044,0.0151416,Inland,4,264.1728747,35.09622,33.28975
MANGLI LAKE,CY000NIC045,0.0432095,Inland,9,208.2875294,35.12706,33.30844
MENIKO RECHARGE WIER No.1,CY000NIC047,0.0167592,Inland,12,716.0246312,35.09455,33.16712
AKAKI RECHARGE WIER No.1,CY000NIC048,0.0183691,Inland,2,108.878497,35.11625,33.13426
PERISTERONA RECHARGE WIER No.1,CY000NIC049,0.6771667,Inland,2,2.953482503,35.11748,33.08772
