Name Wetland,ID,Area (km2),Type of wetland,Species richness,Species normalized,lat,lon,,,,,
Pozzi di Pozzolo 2,FR832COR472,0.002,Inland,6,3000,42.046549,9.097462,,,,,
Pozzi di Pozzolo 3,FR832COR473,0.002,Inland,5,2500,42.047308,9.094102,,,,,
Etang de Cintulinu,FR832COR474,0.002,Inland,2,1000,42.060688,8.967874,,,,,
Réserve d'Ocana,FR832COR475,0.026,Inland,2,76.92307692,41.94567,8.931739,,,,,
Lac de barrage de Tolla,FR832COR477,1.117,Inland,2,1.790510295,41.969523,8.976434,,,,,
Retenue du Partuso,FR832COR479,0.001,Inland,2,2000,41.90233,9.155907,,,,,
Pozzines de Cuscione 1,FR832COR480,0.028,Inland,8,285.7142857,41.891568,9.181541,,,,,
Pozzines de Cuscione 2,FR832COR481,0.02,Inland,14,700,41.872346,9.157494,,,,,
Pozzines de Cuscione 3,FR832COR482,0.107,Inland,8,74.76635514,41.872759,9.172526,,,,,
Pozzines de Cuscione 6,FR832COR485,0.032,Inland,8,250,41.84935,9.16407,,,,,
Mare de Barcaggio,FR833COR006,0.001,Inland,46,46000,42.999647,9.41041,,,,,
Mare de Turli,FR833COR021,0.002,Inland,8,4000,42.78359,9.414619,,,,,
Bassins de carrière de Cico,FR833COR027,1.279,Inland,5,3.909304144,42.558239,9.497348,,,,,
Bassins de carrière de Cico 2,FR833COR028,0.118,Inland,2,16.94915254,42.551933,9.487554,,,,,
Marais de Castellarese,FR833COR029,0.022,Inland,2,90.90909091,42.554805,9.478323,,,,,
Etang de Sant'Antone,FR833COR032,0.015,Inland,1,66.66666667,42.568641,9.455964,,,,,
Réservoirs de Perrone,FR833COR033,0.003,Inland,1,333.3333333,42.550882,9.460423,,,,,
Lac de barrage de l'Argentella,FR834COR343,0.02,Inland,4,200,42.460572,8.686144,,,,,
Lac de barrage de Codole,FR834COR352,0.817,Inland,14,17.13586291,42.586819,8.944624,,,,,
Etang de Fornelaccio,FR834COR357,0.003,Inland,1,333.3333333,42.596013,9.106525,,,,,
Etang de Cannuta,FR834COR358,0.066,Inland,6,90.90909091,42.653261,9.082703,,,,,
Mare de Taglia Carne,FR834COR362,0.001,Inland,47,47000,42.715923,9.114832,,,,,
Mare de Chiuvina,FR834COR374,0.001,Inland,61,61000,42.700629,9.206718,,,,,
Roselière de Saint Florent,FR834COR381,0.154,Inland,27,175.3246753,42.670254,9.30319,,,,,
Aulnaie marécageuse de Saint Florent,FR834COR383,0.304,Inland,20,65.78947368,42.676818,9.308104,,,,,
Retenue de Padula,FR834COR392,0.321,Inland,6,18.69158879,42.628705,9.324256,,,,,
Réserve de Guazza,FR835COR037,0.052,Inland,3,57.69230769,42.518996,9.414873,,,,,
Bassins d'épuration de Vanga di l'Oru,FR835COR052,0.063,Inland,2,31.74603175,42.344169,9.53285,,,,,
Marais de Mattonato,FR835COR064,0.142,Inland,4,28.16901408,42.218069,9.538604,,,,,
Marais de Tinta,FR835COR067,0.499,Inland,9,18.03607214,42.197495,9.541113,,,,,
Mare de Tinta,FR835COR068,0.007,Inland,9,1285.714286,42.199868,9.549637,,,,,
Bassin de carrière de Rottani,FR835COR074,0.044,Inland,3,68.18181818,42.129601,9.460017,,,,,
Retenue de Bacciana,FR835COR076,0.383,Inland,9,23.49869452,42.114929,9.446709,,,,,
